gnb_power,fbs_power,actual_fbs,detected_fbs
32.3676,7.1388,0,0
32.3676,7.1388,1,1
32.3676,7.1388,2,2
32.3676,7.1388,3,3
32.3676,7.1388,4,4
32.3676,7.1388,5,5
32.3676,7.1388,6,6
32.3676,7.1388,7,7
32.3676,7.1388,8,8
32.3676,7.1388,9,9
32.3676,7.1388,10,10
32.3676,7.1388,11,9
,,,
32.3676,12.3676,0,0
32.3676,12.3676,1,1
32.3676,12.3676,2,2
32.3676,12.3676,3,3
32.3676,12.3676,4,4
32.3676,12.3676,5,5
32.3676,12.3676,6,6
32.3676,12.3676,7,7
32.3676,12.3676,8,8
32.3676,12.3676,9,9
32.3676,12.3676,10,3
32.3676,12.3676,11,3
,,,
32.3676,22.7815,0,0
32.3676,22.7815,1,1
32.3676,22.7815,2,2
32.3676,22.7815,3,3
32.3676,22.7815,4,4
32.3676,22.7815,5,5
32.3676,22.7815,6,6
32.3676,22.7815,7,9
32.3676,22.7815,8,9
32.3676,22.7815,9,9
32.3676,22.7815,10,9
32.3676,22.7815,11,9
,,,
42.3676,9.35729,0,0
42.3676,9.35729,1,3
42.3676,9.35729,2,3
42.3676,9.35729,3,3
42.3676,9.35729,4,4
42.3676,9.35729,5,5
42.3676,9.35729,6,6
42.3676,9.35729,7,7
42.3676,9.35729,8,3
42.3676,9.35729,9,3
42.3676,9.35729,10,10
42.3676,9.35729,11,11
,,,
42.3676,22.3676,0,0
42.3676,22.3676,1,1
42.3676,22.3676,2,2
42.3676,22.3676,3,3
42.3676,22.3676,4,4
42.3676,22.3676,5,5
42.3676,22.3676,6,6
42.3676,22.3676,7,7
42.3676,22.3676,8,7
42.3676,22.3676,9,7
42.3676,22.3676,10,10
42.3676,22.3676,11,7
,,,
42.3676,31.91,0,4
42.3676,31.91,1,4
42.3676,31.91,2,4
42.3676,31.91,3,3
42.3676,31.91,4,4
42.3676,31.91,5,5
42.3676,31.91,6,7
42.3676,31.91,7,7
42.3676,31.91,8,8
42.3676,31.91,9,9
42.3676,31.91,10,10
42.3676,31.91,11,7
